code,name,state,lat,lon,lat_raw,lon_raw,elevation_ft,mag_var,certification,utc_offset,has_fuel,fuel_types,avgas,mogas,jet_a1,jet_b,f34,fsii,jetplus,fuel_caveat,fuel_source,payment_methods,pay_carnet,pay_credit,pay_eftpos,pay_cash,pay_account,pay_app,pay_fuelcard,controlled,airspace_class,ctaf,frequencies,runway_count,runway_summary,handling_raw
YAMT,AMATA,SA,-26.097222,131.202778,260550S,1311210E,2172,4 E,UNCR,+9:30,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 121.85,0,,
YANG,WEST ANGELAS,WA,-23.135,118.706667,230806S,1184224E,2346,1 E,CERT,+8,True,JET A1,False,False,True,False,False,False,False,False,handling_section,"Carnet, Credit card, Fuel card",True,True,False,False,False,False,True,False,,127.05,FIA 128.15,1,04/22 Grooved,"Viva Energy Aviation: PH 0427 574 127, JET A1. Fuel2Sky Carnet card or credit cards (V and MC)."
YANK,ANNA CREEK,SA,-28.897222,136.170556,285350S,1361014E,300,6 E,UNCR,+9:30,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,127.8,FIA 120.7; CTAF 127.8,0,,
YAOD,AUST AGE OF DINOSAURS MUSEUM,QLD,-22.48,143.1825,222848S,1431057E,886,7 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 122.1,0,,
YAPH,ALPHA,QLD,-23.646111,146.583611,233846S,1463501E,1255,8 E,CERT,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 122.3; CTAF 126.7,1,18/36,
YAQA,AQUILA,QLD,-25.528889,152.57,253144S,1523412E,170,10 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.55,FIA 124.6,2,"05/23 840M Sealed, Grass; 09/27 700M Grass",
YARA,ARARAT,VIC,-37.309444,142.988611,371834S,1425919E,1008,11 E,CERT,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 126.8; CTAF 126.7,2,04/22 Grass; 12/30,
YARK,ARKAROOLA,SA,-30.406389,139.346667,302423S,1392048E,800,7 E,UNCR,+9:30,True,AVGAS,True,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 121.2,0,,AVGAS AVBL with PN to AD OPR.
YARM,ARMIDALE,NSW,-30.528056,151.617222,303141S,1513702E,3556,12 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Carnet, Credit card, Cash, Fuel card",True,True,False,True,False,False,True,False,,127.5,FIA 125.75,2,05/23 ; 09/27 Gravel,"VIVA: Armidale Airport Services 0900-1700 Local MON-FRI, AH call-out fee will apply outside
normal HR and on PH. 2HR PN RQ. Phone 0427 399 690. JET A1 only. VIVA Fuel2Sky, Carnet
card and credit cards (V and MC).
Superair: JET A1, AVGAS. Fuel bowser H24, credit card (V and MC) and debit card. Cash not
accepted. Phone 0409 325 238."
YARY,ARRABURY,QLD,-26.690556,141.047222,264126S,1410250E,334,7 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 118.8; CTAF 126.7,0,,
YATN,ATHERTON,QLD,-17.261944,145.514444,171543S,1453052E,2460,7 E,UNCR,+10,True,AVGAS,True,False,False,False,False,False,False,False,handling_section,"Account, App",False,False,False,False,True,True,False,False,,126.7,FIA 126.1,1,15/33 Grass,"Fuel supplied by IOR Aviation Pty Ltd. AVGAS 100LL AVBL H24 self-service
bowser. Payment via IOR Aviation tag for account holders or via the Fuelcharge
APP."
YAUG,AUGUSTA,WA,-34.33,115.156667,341948S,1150924E,120,3 W,UNCR,+8,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,132.25,FIA 124.9; CTAF 132.25,0,,
YAUR,AURUKUN,QLD,-13.353889,141.720833,132114S,1414315E,29,5 E,CERT,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 122.1; CTAF 126.7,1,16/34 Sealed,
YAYE,AYERS ROCK/CONNELLAN,NT,-25.186111,130.975556,251110S,1305832E,1626,4 E,CERT,+9:30,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,Fuel card,False,False,False,False,False,False,True,False,,126.9,FIA 121.85; CA/GRS 126.9,1,13/31 Grooved,"Viva Energy/Air BP (JV) – Skyfuel Australia Pty Ltd. 2130-0730 UTC (0700-1700 ACST).
AH call-out fee applies. Phone: 0417 632 763 (primary) or 0418 862 100 (secondary).
Email: yulara@skyfuel.com.au. JET A1 tanker, AVGAS card swipe bowsers – V, MC,
Viva Fuel2Sky or BP Card.
General
The AD OPR does not provide ACFT marshalling services. All requests for ACFT marshalling
should be directed to the airlines or a FBO."
YAYR,AYR,QLD,-19.596389,147.324722,193547S,1471929E,40,7 E,UNCR,+10,True,AVGAS,True,False,False,False,False,False,False,False,handling_section,Credit card,False,True,False,False,False,False,False,False,,126.7,FIA 120.55; CTAF 126.7,2,"01/19 1462M Sealed, Bitumen; 11/29 1127M Grass",AVGAS AVBL H24 FM a self-service fuel dispenser. Credit cards accepted.
YBAB,BARALABA,QLD,-24.186667,149.845,241112S,1495042E,400,9 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 135.3; CTAF 126.7,0,,
YBAD,BARADINE,NSW,-30.955,149.091667,305718S,1490530E,990,11 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 127.1,1,11/29 1575M Natural surface,
YBAF,BRISBANE/ARCHERFIELD,QLD,-27.570278,153.008056,273413S,1530029E,65,11 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Carnet, Credit card, EFTPOS, Cash",True,True,True,True,False,False,False,True,"D, G",118.1,FIA 125.7; ATIS 120.9; SMC 119.9; TWR 118.1/123.6,4,"04L/22R Sealed, Natural; 04R/22L Sealed, Natural; 10L/28R ; 10R/28L Sealed","AvFuel Services: DLY 2015-0730 UTC. AH call-out fee will apply. PH 0420 634 093.
JET A1 and AVGAS. Fuel bowser AVBL 24HR. AvFuel Services CARNET, EFTPOS and credit card
(MC and V). Cash not accepted.
Ground Handling and FBO services contact:
Archerfield Jet Base Hangar 5 Qantas Ave. Archerfield QLD 4108. H24 with 2HR PN.
Email info@archerfieldjetbase.com.au or PH 1300 359 552 or 0402 797 071.
Eagle Aircraft Maintenance: Hangar 1, Qantas Ave, Archerfield Airport, QLD 4108. 0730-1530
Local DLY. Phone 07 3270 2450 or 0428 027 064.
Flight One: 224 Qantas Ave, Archerfield QLD 4108. 0700-1600 Local DLY with 2HR PN. Email:
operations@contrails.aero, PH 1800 359 663."
YBAR,BARCALDINE,QLD,-23.565278,145.306667,233355S,1451824E,880,8 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,Credit card,False,True,False,False,False,False,False,False,,126.7,FIA 122.1,2,"01/19 Sealed; 14/32 750M Sealed, Clay, Sand","George Bourne and Associates: Self-service bowser. Credit card swipe
only. AVGAS and JET A1 AVBL H24. CTC 0458 303 544, 07 4651 5177,
2300-0600 UTC MON - FRI EXC PH. AH callout 1HR PN
(AH callout fee $200)."
YBAS,ALICE SPRINGS,NT,-23.806667,133.902222,234824S,1335408E,1789,4 E,CERT,+9:30,True,"AVGAS, JET A1, FSII, JETPLUS",True,False,True,False,False,True,True,False,handling_section,"Carnet, Credit card, Fuel card",True,True,False,False,False,False,True,True,"C, E, G",118.3,FIA 119.8; ATIS 115.9/123.0; TWR 118.3,2,12/30 Grooved; 17/35,"Viva Energy Aviation: Dunning’s Fuels Pty Ltd 2030-0830 UTC. PH 08 8955 5335 or 0417 644 965
AH call out fee applies. JET A1, AVGAS, JetPlus. Fuel2Sky Carnet Cards or credit cards
(V and MC).
AIR BP: 2030-0800 UTC DLY, H24 AVGAS card bowser. PH 08 8952 1120 (diverts to refueller),
Fax 08 8955 5083, AH 0438 897 002. 60MIN PN. AVGAS, JET A1 and JET/FSII.
General
AD OPR does not provide ACFT marshalling. All requests should be made to RPT Airlines or fixed
base operators."
YBAU,BADU ISLAND,QLD,-10.15,142.174167,100900S,1421027E,45,4 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.5,FIA 120.3; CTAF 126.5,1,12/30 Sealed,
YBBF,BROOKLET/BLUEBERRY FIELDS,NSW,-28.739722,153.487222,284423S,1532914E,350,12 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,124.2,FIA 120.3,1,18/36 350M Grass,
YBBN,BRISBANE,QLD,-27.384167,153.1175,272303S,1530703E,15,11 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Carnet, Credit card, Fuel card",True,True,False,False,False,False,True,True,C,,FIA 121.2; FIA 125.7; ACD 118.85; APP 124.7/125.6; APP/DEP 123.5; ATIS 113.2/125.5; BMN 119.25; DEP 118.45/133.45; SMC 121.7/122.25/124.05; TWR 118.0/120.5,2,"01L/19R 220M Grooved, Concrete; 01R/19L 100M Grooved, Concrete","BP - Air Refuel Pty Ltd: H24. PH: 07 3860 5996 or 07 3860 5988, 0418 718 238. JET A1.
Ampol Aviation: H24. PH: 0438 753 572. JET A1.
Viva Energy Refuelling (or Aviation) – Jet Valet and GA: H24. PH: 1300 847 538. JET A1 and
AVGAS. Fuel2Sky (Carnet) Card and credit cards (V and MC).
Contact details for FBO, catering, ground handlers, maintenance and other associated services are
available from Brisbane Airport web address:
https://www.bne.com.au/corporate/work-at-bne/aviation-service-providers"
YBBT,BOORT,VIC,-36.137222,143.720556,360814S,1434314E,294,11 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 125.8; CTAF 126.7,0,,
YBCG,GOLD COAST,QLD,-28.164444,153.504722,280952S,1533017E,21,12 E,CERT,+10,True,"AVGAS, JET A1, FSII",True,False,True,False,False,True,False,False,handling_section,"Carnet, Credit card",True,True,False,False,False,False,False,True,"C, G",118.7,FIA 119.5; ACD 128.75; APP 123.5; ATIS 112.3/134.5; SMC 121.8; TWR 118.7,2,14/32 Grooved; 17/35,"Air BP: Phone 0488 429 471, 0700-1600 Local MON-SUN. AH call-out fee applies. AVGAS,
JET A1, JET A1-FSII, Shell lubricants.
Platinum Business Aviation Centre: Office HR 2100-0700 UTC MON-FRI, AH 24HR PN call
07 5688 6600, call-out fee applies. VHF 131.975 MHz, JET A1, AVGAS, World Fuel Carnet,
V and MC. Ramp parking/hangarage on request, full FBO facility and all associated services AVBL.
Ampol: 2100-0900 UTC DLY, Phone 07 5688 6690, AH 0439 307 259. AH by arrangement.
JET A1, O125, O156. AH call-out fee $50.
General
AD OPR does not provide ACFT marshalling services. All requests for ACFT marshalling should be
directed to the Airlines or a FBO (if applicable).
All charter operators or visiting ACFT requiring marshalling, logistical support or engagement of
border control agencies must engage a Fixed Base Operator or recognised ground handler and be
met/escorted on arrival and departure."
YBCK,BLACKALL,QLD,-24.427778,145.428611,242540S,1452543E,928,8 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,EFTPOS,False,False,True,False,False,False,False,False,,126.7,FIA 122.1; CTAF 126.7,2,"06/24 Sealed; 12/30 Sealed, Clay, Sand","0 Blackall Aviation Fuels: JET A1 and AVGAS AVBL H24. Self serve
6
bowsers ACT by V, MC and EFTPOS. Fuel enquiries 0417 624 422."
YBCM,COOMINYA,QLD,-27.391667,152.461667,272330S,1522742E,330,11 E,UNCR,+10,True,MOGAS,False,True,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 121.2,2,04/22 400M Grass; 12/30 1000M Grass,MOGAS AVBL by arrangement.
YBCS,CAIRNS/CAIRNS INTL,QLD,-16.885833,145.755278,165309S,1454519E,10,7 E,CERT,+10,True,"AVGAS, JET A1, FSII",True,False,True,False,False,True,False,False,handling_section,,False,False,False,False,False,False,False,True,,,FIA 126.1; ACD 128.75; APP/DEP 118.4; APP/FIA 126.1; ATIS 113.0/131.1; SMC 121.7; TWR 124.9,1,15/33 Grooved,"Air BP - Danshe Pty Ltd: 2000-0800 UTC DLY. Phone 07 4035 9872. Fax 07 4034 9238.
Mobile 0418 778 956. AH 1HR PN. AH call-out fee. VHF 126.40. AVGAS, JET A1, JET FSII.
Viva Energy Aviation – JL Aviation Fuelling Pty Ltd:
a. RPT domestic/international aprons H24. JET A1. Mobile 0429 142 922.
b. GA Apron MON-FRI 1900 – 0800 UTC, SAT-SUN 1930 – 0800 UTC. JET A1 and
AVGAS. Mobile 0417 788 330. JET A1 AH CTC 0429 142 922.
Machjet International: Marshalling and Ground Handling services H24 DLY.
Phone: +61 428 756 929 or +61 7 5457 0778. Email: fbo@machjet.com.au.
Jet Aviation Australia - FBO Services and VIP Lounge H24 (civil and MIL ACFT).
PH OPS H24 +61 478 880 776 or +61 7 4030 1859. Email: cnsfbo@jetaviation.com. VHF 135.95,
CS ‘Jet Aviation’.
General
Aircraft marshalling is required for all charter and visiting aircraft using the Domestic and
International aprons. All aircraft using these aprons must be facilitated through a Fixed Base
Operator or ground handler. Crew and passengers must be escorted to and from the aircraft.
The AD OPR does not provide a marshalling service."
YBCV,CHARLEVILLE,QLD,-26.413333,146.2625,262448S,1461545E,1003,9 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Carnet, Credit card, Fuel card",True,True,False,False,False,False,True,False,,126.7,FIA 124.8,2,12/30 Sealed; 18/36 Sealed,"VIVA Energy: South West Air Service Pty Ltd 2200-0700 UTC. Phone 07 4654 3033,
Email: fuel@swas.net.au. AVGAS card swipe bowser 24HR.
JET A1 mobile refueller - AH + JF 12HR PN required and call-out fee may apply. VIVA Fuel2Sky
Card, global carnet (JET A1 only), V and MC. Aeroshell Oils also AVBL.
LAME - H24. Western QLD Air Maintenance. Phone 07 4654 3030, AH 4654 3186."
YBDG,BENDIGO,VIC,-36.739167,144.329722,364421S,1441947E,710,11 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,Carnet,True,False,False,False,False,False,False,False,,119.3,FIA 126.8,2,05/23 Grass; 17/35,"Skyfuel: AVGAS and JET A1. H24 self-service bowsers accepts MC, V and
Skyfuel Carnet card. PH 0418 862 100 or 0417 780 280. Refer to
www.skyfuel.com.au for site information and orientation.
IOR Aviation Pty Ltd: JET A1 by tanker. H24. $130 call-out fee applies
outside 0800 - 1700 Local. PH Justin 0428 179 873.
Bendigo Ground Airport Services: Fixed Base Operator (FBO) service
including ground transport. AVBL 24H with PN. CTC Justin HJ JO
PH 0408 574 094 or visit www.bendigo-ground.com.au for more information."
YBDV,BIRDSVILLE,QLD,-25.8975,139.3475,255351S,1392051E,159,6 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Credit card, Cash, App",False,True,False,True,False,True,False,False,,126.7,FIA 125.4,2,03/21 Clay; 14/32 Sealed,"Birdsville Aviation Fuel: 0700-1900 Local. Call-out fee applies outside these HR. PH 07 4656 3244,
Fax 4656 3262. Outside HJ 2HR PN. AVGAS, JET A1 (tanker), O117, O125. Cash and credit card
for JET A1. Fuelcharge only for AVGAS."
YBEB,BELLBURN,WA,-17.544722,128.305,173241S,1281818E,800,2 E,UNCR,+8,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,127.3,FIA 118.2,0,,
YBEE,BEVERLEY MINE,SA,-30.186667,139.558333,301112S,1393330E,382,7 E,UNCR,+9:30,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 121.2,0,,
YBEO,BETOOTA,QLD,-25.695,140.736667,254142S,1404412E,248,7 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 125.4; CTAF 126.7,0,,
YBEV,BEVERLEY (WA),WA,-32.124722,116.95,320729S,1165700E,720,1 W,UNCR,+8,False,,False,False,False,False,False,False,False,True,handling_section,,False,False,False,False,False,False,False,False,,126.85,FIA 120.3,2,"08/26 900M Gravel; 16/34 1460M Bitumen, Gravel","Nil fuel AVBL.
34"
YBFT,BEAUFORT,VIC,-37.494444,143.43,372940S,1432548E,1300,11 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 126.8,0,,
YBGD,BOOLGEEDA,WA,-22.541111,117.269444,223228S,1171610E,1870,1 E,CERT,+8,True,JET A1,False,False,True,False,False,False,False,False,handling_section,"Carnet, Fuel card",True,False,False,False,False,False,True,False,,126.7,FIA 125.7,1,08/26 Sealed,"VIVA Energy: VIVA Energy Australia Pty Ltd 2200-1000 UTC MON-FRI. AH by arrangement, PN.
PH 0409 897 890. JET A1 VIVA Fuel2Sky Carnet card."
YBGO,BALGO HILL,WA,-20.148333,127.973889,200854S,1275826E,1440,3 E,CERT,+8,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 118.9; CTAF 126.7,1,15/33 Gravel,
YBGR,BRIDGEWATER,VIC,-36.616667,143.95,363700S,1435700E,500,11 E,UNCR,+10,True,AVGAS,True,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,119.3,FIA 126.8; CTAF 119.3,0,,"36 AVGAS AVBL, CTC AD OPR."
YBHI,BROKEN HILL,NSW,-32.001389,141.471667,320005S,1412818E,959,9 E,CERT,+9:30,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Account, App",False,False,False,False,True,True,False,False,,126.7,FIA 122.6,2,"05/23 ; 14/32 Sealed, Sand","AIR BP: JET A1 MON-FRI 0800-1700 Local. AH by arrangement. AVGAS self serve. BP card
facility. Phone 0408 728 605 H24.
IOR Aviation Pty Ltd. JET A1 and AVGAS 100LL AVBL H24 self-serve bowser.
Payment method via IOR Aviation tag for account holders or via the Fuelcharge APP.
JET A1 U/W and O/W (refueller vehicle) 0700-1600 Local MON-FRI; 0800-1600 weekends. AH call
out fee applies. IOR mobile contact 0460 046 609 or 1300 457 467."
YBHL,BINDOON HILL,WA,-31.340278,116.188333,312025S,1161118E,925,1 W,UNCR,+8,False,,False,False,False,False,False,False,False,True,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 120.3,1,"09/27 Bitumen, Gravel",Nil fuel AVBL.
YBHM,HAMILTON ISLAND,QLD,-20.358056,148.951667,202129S,1485706E,15,8 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Carnet, Credit card, Fuel card",True,True,False,False,False,False,True,True,"C, D, G",127.85,FIA 135.5; ATIS 128.35; TWR 118.7,1,14/32 Grooved,"VIVA: Whitsunday Aviation Refuelling PTY LTD - 2130-0600 UTC AH call-out fee will apply.
PN required. Mobile 0412 936 177, AVGAS, JET A1. VIVA Fuel2Sky Card, Viva Global Carnet Card
and Credit Cards (V and MC).
General
AD OPR does not provide marshalling services."
YBIE,BEDOURIE,QLD,-24.346111,139.460278,242046S,1392737E,300,6 E,CERT,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 125.4/132.0; CTAF 126.7,1,14/32 Sealed,
YBIR,BIRCHIP,VIC,-35.999722,142.9175,355959S,1425503E,340,10 E,CERT,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 125.8; CTAF 126.7,2,"04/22 ; 09/27 Clay, Sand",
YBIU,BALLIDU,WA,-30.593333,116.78,303536S,1164648E,950,1 W,UNCR,+8,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 124.8; CTAF 126.7,0,,
YBKE,BOURKE,NSW,-30.038611,145.951944,300219S,1455707E,352,10 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Credit card, Fuel card",False,True,False,False,False,False,True,False,,126.7,FIA 125.35,2,05/23 ; 18/36 Gravel,"VIVA Energy Aviation: Central West Aviation Fuels. PH: 0448 821 146, Fax 02 6882 7522. H24
AVGAS and JET A1 Card Swipe Bowsers. VIVA Fuel2Sky fuel card and credit card (V and MC).
JET A1 underwing refuelling available by arrangement."
YBKT,BURKETOWN,QLD,-17.748611,139.534444,174455S,1393204E,21,5 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,True,handling_section,Credit card,False,True,False,False,False,False,False,False,,126.7,FIA 125.7; CTAF 126.7,1,03/21,"Fuel not AVBL whilst RPT ACFT on APN.
Nowland: DLY H24. Phone 07 4745 5107, AH 0427 455 107. AVGAS, JET A1, O125. Credit card
self-service bowser (not AMEX or DC)."
YBLA,BENALLA,VIC,-36.554167,146.009167,363315S,1460033E,569,12 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,Credit card,False,True,False,False,False,False,False,False,,125.6,FIA 125.2,2,"08/26 Sealed; 17/35 Grass, Clay","Aero Refuellers: H24 card swipe. AVGAS and JET A1 bowsers. Accepts Aero Refuellers cards,
V and MC."
YBLC,BALCANOONA,SA,-30.534444,139.337778,303204S,1392016E,474,7 E,UNCR,+9:30,True,AVGAS,True,False,False,False,False,False,False,True,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 121.2,0,,Fuel not AVBL. AVGAS AVBL 9NM to the north at Arkaroola Airstrip with PN.
YBLL,BOLLON,QLD,-28.053611,147.478333,280313S,1472842E,597,10 E,UNCR,+10,False,,False,False,False,False,False,False,False,False,handling_section,,False,False,False,False,False,False,False,False,,126.7,FIA 118.95; CTAF 126.7,0,,
YBLN,BUSSELTON,WA,-33.687222,115.400278,334114S,1152401E,56,3 W,CERT,+8,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,Carnet,True,False,False,False,False,False,False,False,,127.0,FIA 124.9,1,03/21 Grooved,"ABP/City of Busselton, JET A1, AVGAS Phone AD OPR, Carnet card only.
JET A1 truck refuelling AVBL, JET A1 and AVGAS bowsers AVBL, CTC AD OPR.
ACFT requiring ground handling services call MRBTA on 0437 372 074."
YBLP,BLUEWATER PARK,QLD,-19.191667,146.493333,191130S,1462936E,110,7 E,UNCR,+10,True,"AVGAS, MOGAS",True,True,False,False,False,False,False,False,handling_section,"Cash, Account",False,False,False,True,True,False,False,False,,126.7,FIA 120.55; APP/DEP 126.8; ATIS 133.5; UNICOM 126.7,2,"02L/20R 1500M Sealed, Gravel, Grass; 02R/20L 900M Grass","AVGAS and MOGAS AVBL with PN from Townsville Flyers Inc. Payment by prior arrangement on
account or cash only."
YBLT,BALLARAT,VIC,-37.511667,143.791111,373042S,1434728E,1433,11 E,CERT,+10,True,"AVGAS, JET A1",True,False,True,False,False,False,False,False,handling_section,"Carnet, Credit card",True,True,False,False,False,False,False,False,,127.75,FIA 126.8,3,05/23 ; 13/31 Grass; 18/36,"BP: Ballarat Aviation Group: 2300-0730 UTC DLY. 2 HR PN, Phone 0438 508 576. Call-out fee $40.
Credit cards and BP Carnet (H24) AVBL. AVGAS, O125.
Field Air: Phone 03 5330 9330, AH 0437 348 124. Credit card (MC and VISA only) AVBL (H24).
JET A1 facility located W of TWY B."
